name
"""Weird Al"" Yankovic"
50 Cent
Andrew Chalmers
Andrew Daly
Andrew Dice Clay
Andrew Divoff
Andrew Ellis
Andrew Farago
Andrew Fiscella
Andrew Forbes
Andrew French
Andrew Garfield
Andrew Glover
Andrew Gower
Andrew Greiche
Andrew Hampton
Andrew Hansen
Andrew Havill
Andrew Hawley
Andrew Henderson
Andrew Howard
Andrew Hyde
Andrew J. West
Andrew Jacobs
Andrew Kavadas
Andrew Keegan
Andrew Keir
Andrew Kemler
Andrew Kevin Walker
Andrew Knott
Andrew Lauer
Andrew Lawrence
Andrew Leung
Andrew Levitas
Andrew Lincoln
Andrew McCarthy
Andrew McDonough
Andrew Miller
Andrew Neil
Andrew Newberg
Andrew Ng
Andrew Pang
Andrew Parks
Andrew Pleavin
Andrew Pozza
Andrew Prine
Andrew Rannells
Andrew Robinson
Andrew Rothenberg
Andrew Rubin
Andrew Sachs
Andrew Scott
Andrew Sensenig
Andrew Shaifer
Andrew Sheridan
Andrew Shim
Andrew Simpson
Andrew Tiernan
Andrew Twifford
Andrew Velman
Andrew Wilson
Andrew Wright
Andrew Wyatt
Andrey Prytkov
Andrey Sumin
Andrzej Blumenfeld
András M. Kecskés
André Benjamin
André De Shields
André Dussollier
André Hennicke
André Holland
André Morell
André Penvern
André Ramiro
André Sogliuzzo
André Wilms
André the Giant
Andrés Almeida
Andrés Gertrúdix
Andrés Montiel
Andy Anderson
Andy Armstrong
Andy Buckley
Andy Cohn
Andy Comeau
Andy Davoli
Andy Devine
Andy Dick
Andy García
Andy Griffith
Andy Hirsch
Andy Karl
Andy Kaufman
Andy Lau
Andy Linden
Andy Mackenzie
Andy Merrill
Andy Milder
Andy Milonakis
Andy Nyman
Andy On
Andy Richter
Andy Romano
Andy Samberg
Andy Serkis
Andy Spencer
Andy Wood
Ane Dahl Torp
Anessa Ramsey
Aneurin Barnard
Anfisa Chernykh
Angel Aviles
Angel Coulby
Angel David
Angela Alvarado
Angela Bassett
Angela Bettis
Angela Cartwright
Angela Featherstone
Angela Goethals
Angela Grovey
Angela Jones
Angela Kinsey
Angela Landis
Angela Lansbury
Angela Lindvall
Angela McEwan
Angela Moore
Angela Paton
Angela Rawna
Angela Sarafyan
Angela Scoular
Angela Sun
Angela Trimbur
Angelica Lee
Angelica Page
Angeliki Papoulia
Angelina Armani
Angelina Idnani
Angelina Jolie
Angelina Peláez
Angelique Pretorius
Angell Conwell
Angelo Barra Moreira
Angelo Bertolini
Angelo Josue Lozano Corzo
Angelo Novi
Angelo Rossitto
Angelo Spizzirri
Angelo Tiffe
Angie Dickinson
Angie Everhart
Angie Harmon
Angourie Rice
Angry Anderson
Angus Barnett
Angus MacInnes
Angus Macfadyen
Angus Sampson
Angus Scrimm
Angus T. Jones
Angélica Aragón
Ania Sowinski
Anika Noni Rose
Anil Kapoor
Anil Kumar
Anil Raman
Anita Briem
Anita Gillette
Anita Laurenzi
Anita Mui
Anita Page
Anita Pallenberg
Anita Sharp-Bolster
Anita Storr
Anita Zagaria
Anita de Moulin
Anja Savcic
Anjali Jay
Anjelah N. Johnson
Anjelica Huston
Anjul Nigam
Anmol
Ann Altieri
Ann Bortolotti
Ann Curry
Ann Cusack
Ann Dalrymple
Ann Dere
Ann Dowd
Ann Dusenberry
Ann Gillis
Ann Lynn
Ann Magnuson
Ann Miller
Ann Morgan Guilbert
Ann Prentiss
Ann Reinking
Ann Rutherford
Ann Ryerson
Anna Anissimova
Anna Ardova
Anna Bolshova
Anna Bolt
Anna Camp
Anna Chancellor
Anna Chlumsky
Anna Claire Sneed
Anna Clark
Anna Colwell
Anna Deavere Smith
Anna Enger
Anna Faris
Anna Foglietta
Anna Friel
Anna Gurji
Anna Hoelck
Anna Hopkins
Anna Hutchison
Anna Kalaitzidou
Anna Karina
Anna Katarina
Anna Keaveney
Anna Kendrick
Anna Kuchma
Anna Lee
Anna Levine
Anna Linarello
Anna Loos
Anna Maria Horsford
Anna Maria Perez de Tagle
Anna Massey
Anna Maxwell Martin
Anna Mikhalkova
Anna Nakagawa
Anna Nicole Smith
Anna Padgett
Anna Paquin
Anna Popplewell
Anna Quayle
Anna Rose Hopkins
Anna Ross
Anna Thalbach
Anna Vareschi
Anna Walton
Anna Wood
Anna-Katharina Schwabroh
Anna-Louise Plowman
AnnaLynne McCord
AnnaSophia Robb
Annabel Kershaw
Annabella Sciorra
Annabelle Dexter-Jones
Annabelle Gurwitch
Annabelle Kavanagh
Annabelle Wallis
Annabeth Gish
Annalee Jefferies
Annaleigh Ashford
Annalise Basso
Anne Archer
Anne Bancroft
Anne Consigny
Anne Dudek
Anne Haney
Anne Hathaway
Anne Heche
Anne Jackson
Anne Joyce
Anne Kent
Anne Louise Hassing
Anne Marie Timoney
Anne Marivin
Anne Meara
Anne Openshaw
Anne Parillaud
Anne Ramsay
Anne Reid
Anne Revere
Anne Suarez
Anne Suzuki
Anne-Marie Brown
Anne-Marie Duff
Anne-Marie Johnson
Anne-Marie Loop
Annedore Kleist
Anneke Blok
Annelyse Ahmad
Annet Mahendru
Annette Andre
Annette Azcuy
Annette Badland
Annette Bening
Annette O'Toole
Annette Robertson
Annie Allix
Annie Cordy
Annie Corley
Annie Mercier
Annie Mumolo
Annie Parisse
Annie Potts
Annie Rose Buckley
Annie Ross
Annie Whittle
Annika Marks
Annika Pergament
Annika Peterson
Annika Wedderkopp
Annton Berry Jr.
Anny Nelsen
Anointing Lukola
Ansel Elgort
Anshuman Jha
Anslem Richardson
Anson Mount
Anthony 'Citric' Campos
Anthony Allen
Anthony Anderson
Anthony Arkin
Anthony Azizi
Anthony Barrile
Anthony Brophy
Anthony Calf
Anthony Cristo
Anthony Cross-Thomas
Anthony Daniels
Anthony Dawson
Anthony DeSando
Anthony Dileo Jr.
Anthony Edwards
Anthony Flanagan
Anthony Flees
Anthony Fusco
Anthony Geary
Anthony Hayes
Anthony Heald
Anthony Higgins
Anthony Hopkins
Anthony James
Anthony Johnson
Anthony Kelley
Anthony LaPaglia
Anthony Mackie
Anthony Mangano
Anthony Michael Hall
Anthony Natale
Anthony Peck
Anthony Pena
Anthony Perkins
Anthony Pietsch
Anthony Powell
Anthony Quayle
Anthony Quinn
Anthony Rapp
Anthony Ray Parker
Anthony Ruivivar
Anthony Rutowicz
Anthony Sherwood
Anthony Simcoe
Anthony Starke
Anthony Stewart Head
Anthony Wong
Anthony Zerbe
Antje Schmidt
Antje Traue
Antoine Balabane
Antoine Blanquefort
Antoine Chappey
Antoine Laurent
Antoine McLean
Antoine Régent
Antoine Saint-John
Antoinette LaVecchia
Anton Lesser
Anton Yelchin
Antoni Corone
Antonia Campbell-Hughes
Antonia Corrigan
Antonia Holfelder
Antonia Steinberg
Antonie Kamerling
Antonio Arrué
Antonio Banderas
Antonio Cantafora
Antonio Casale
Antonio Dechent
Antonio Fargas
Antonio Gil
Antonio Monroy
Antonio Prieto
Antonio Sabàto
Antonio Tarver
Antonio de la Torre
Antonique Smith
Antony Byrne
Antony Coleman
Antony Sher
Antony Starr
Anupam Kher
Anushka Sharma
Anushka Shetty
Anwar Congo
Anya Taylor-Joy
Anémone
April Adams
April Billingsley
April Grace
April Lawrence
April Lee Hernandez
April Telek
April Winchell
Arabella Field
Arabella Holzbog
Araceli Guzman-Rico
Aramis Knight
Arata Furuta
Arcelia Ramírez
Archana Puran Singh
Archie Kao
Archie Panjabi
Arden Myrin
Ardeshir Radpour
Aretha Franklin
Arfi Lamba
Argos MacCallum
Ari Brickman
Ari Folman
Ari Gold
Ari Graynor
Aria Wallace
Ariadna Gil
Ariadne Shaffer
Ariana Neal
Ariana Richards
Ariana Stephens
Ariane Labed
Ariane Rinehart
Arianna Veronesi
Ariel Gade
Ariel Levy
Ariel Waller
Ariel Winter
Arielle Kebbel
Arielle Sémenoff
Arif Herati
Arif Zakaria
Arija Bareikis
Arié Elmaleh
Arjay Smith
Arjun Mathur
Arjun Rampal
Arkie Whiteley
Arlen Escarpeta
Arlene Farber
Arletty
Arlin Miller
Arliss Howard
Arlo Guthrie
Arly Jover
Armand Assante
Armand Schultz
Armando Espitia
Armando Hernández
Armando Riesco
Armelia McQueen
Armelle
Armen Dzhigarkhanyan
Armie Hammer
Armin Amiri
Armin Habibovich
Armin Mueller-Stahl
Armin Rohde
Armine Zeytounchian
Arnaud Henriet
Arndt Schwering-Sohnrey
Arnie Pantoja
Arnold Pinnock
Arnold Schwarzenegger
Arnold Vosloo
Aron Tager
Arshad Warsi
Arsher Ali
Arsinée Khanjian
Art Carney
Art Cruz
Art Evans
Art Garfunkel
Art Hindle
Art Hsu
Art LaFleur
Art Lund
Art Malik
Art Parkinson
Artel Great
Artem Mishin
Arthur A. Busch
Arthur Agee
Arthur Angel
Arthur Burghardt
Arthur Corber
Arthur Deschamps
Arthur Dupont
Arthur Franz
Arthur Freed
Arthur Hill
Arthur Holden
Arthur Hoyt
Arthur J. Nascarella
Arthur Kennedy
Arthur Malet
Arthur O'Connell
Arthur O'Sullivan
Arthur Sellers
Arthur Shields
Arthur Treacher
Arthur Tulee
Artie Ahr
Artie Lange
Artur Janusiak
Arturo del Puerto
Artus de Penguern
Artyom Bogucharsky
Arundathi Nag
Arvydas Sabonis
Aryana Engineer
Asa Aquino
Asa Butterfield
Asa Maynor
Asei Kobayashi
Ash Brannon
Ash Hollywood
Ash Lendzion
Asha Noel Iyer
Ashanti
Asher Blinkoff
Asher Book
Ashlee Simpson
Ashlee Thompson
Ashleigh Gryzko
Ashley Bell
Ashley Benson
Ashley Boettcher
Ashley Bryant
Ashley Buccille
Ashley Cutrona
Ashley Eckstein
Ashley Gerasimovich
Ashley Greene
Ashley Hayes
Ashley Head
Ashley Hinshaw
Ashley Hoelck
Ashley Jensen
Ashley Johnson
Ashley Judd
Ashley Laurence
Ashley LeConte Campbell
Ashley Lilley
Ashley Mulheron
Ashley Olsen
Ashley Palmer
Ashley Peldon
Ashley Rickards
Ashley Scott
Ashley Springer
Ashley Tisdale
Ashley Walters
Ashley Warren
Ashley Williams
Ashlie Atkinson
Ashlyn Gere
Ashlyn Sanchez
Ashraf Barhom
Ashton Holmes
Ashton Kutcher
Ashton Leigh
Asia Argento
Asim Mujahid
Asin Thottumkal
Aspasia Kralli
Asphyxia Noir
Assaf Cohen
Assumpta Serna
Astrid Bergès-Frisbey
Astro
Athena Karkanis
Athina Rachel Tsangari
Atlin Mitchell
Ato Essandoh
Atossa Leoni
Atsuro Watabe
Atticus Shaffer
Attila Árpa
Atul Kulkarni
Aubrey Morris
Aubrey Peeples
Aubrey Plaza
Audra Blaser
Audra McDonald
Audrey Bennett
Audrey Christie
Audrey Devereal
Audrey Hepburn
Audrey Lynn Tennent
Audrey Tautou
Audrey Wasilewski
Audrie Neenan
Augie Davis
August Diehl
August Schellenberg
August Zirner
Augustus Prew
Aunjanue Ellis
Aurelien Parent Koenig
Aurore Clément
Austin Abrams
Austin Basis
Austin Bickel
Austin Butler
Austin Highsmith
Austin Lyon
Austin Michael Scott
Austin Nichols
Austin O'Brien
Austin Pendleton
Austin Schwarz
Austin Stoker
Austin Stowell
Austin Williams
Austin Willis
Austin Wolff
Autumn Campbell
Ava Acres
Ava Dean
Ava Fabian
Ava Gardner
Avery Brooks
Avery Schreiber
Avi Dichter
Avi Sills
Avin Shah
Aviva
Aviva Marks
Avraham Shalom
Axel Kiener
Axel Kuschevatzky
Aya Cash
Ayaan Khan
Ayanat Ksenbai
Ayano Fukuda
Ayelet Zurer
Ayesha Omar
Ayisha Issa
Aymen Hamdouchi
Ayush Mahesh Khedekar
Ayush Tandon
Azfar Ali
Aziz Ansari
Aziz Beyshenaliev
Aziz Muradillayev
Aziza Semaan
Azucena Medina
Azura Skye
B. J. Novak
B.J. Britt
B.J. Hogg
B.J. Hopper
BD Wong
Ba Sen
Baard Owe
Babou Ceesay
Baby Bajrangi
Baby Bash
Badja Djola
Bae Doona
Bahar Soomekh
Bahare Seddiqi
Bahram Ehsas
Bai Bing
Bai Ling
